源声编码,源声描述,源声来源,观点编号,观点类别
201701ecm0005139,电池很抗用 续航能力超强 完美 快 就一个字 清晰 美颜很酷 可以 服务还行,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005140,手机很好，电池绝对目前主流手机中的战斗ji，外观漂亮，手机运行速度快，屏幕清晰，指纹的速度绝对牛逼，拍照更是秒杀一切，国产品牌值得信赖，客服维维太给力，发货速度这么快，感谢维维，全五星?。,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005141,充电快 电池扛用 速度很快 发货快 手机很薄 用着舒服 性价比高 总之是很不错 值得购买,Etianmao_hw,VPAD0165E001,充电快
201701ecm0005142,还是不错的，电池抗用！就是有的app有闪退的现象！,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005144,东西还不错，非常好用，电池可以用一天多,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005145,电池没传说中的耐用，充电也没广告上的快，性价比不高，感觉很不划算的样子,Etianmao_hw,VPAD0101E002,待机或使用时间短
201701ecm0005146,手机挺好电池能用两天，挺快,Ejd,VPAD0101E001,待机或使用时间长
201701ecm0005148,手机收到很满意，用了几天才评价的，电池容量大，玩一天没问题，反应速度快，屏幕分辨率高，很清晰。,Etaobao_hw,VPAD0275E001,喜爱/好用
201701ecm0005149,电池容量大，续航时间长 很快，比苹果好用 充电五分钟，通话2小时,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005150,电池容量大，用的好，确实喜欢这个手机，快递真真真真真真真真真真真真快，超级喜欢手机,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005151,电池容量大，用一整天都可以不用充电，看电视电影不错，屏幕够大的，颜色也是适合女生用的，京东的客服也是不错的。,Ejd,VPAD0101E001,待机或使用时间长
201701ecm0005152,手机很棒，运行速度很快，电池容量大耐用，充电也特别快，就是玩游戏会发热，不过智能机都这样，总体来说很满意,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005153,手机很棒 电池容量很大 比以前用的苹果电量要多 充电非常快 指纹识别也很快 home键的设计很炫酷 而且黑色的外观很漂亮 照相也很清晰 自拍的效果很好 附一张用这个手机照的圣索菲亚教堂 效果真的很棒,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005154,电池容量挺大的，但是使用时间不久,Ejd,VPAD0101E002,待机或使用时间短
201701ecm0005155,电池是相当给力了，我是手机控，用了一天，晚上睡前还有很多电，有时候睡前都不想充电了，感觉第二天也够用,Etaobao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005156,电池太差，和我的其它品牌的手机电池相比都同时把电充满，同时打开，这款手机电池明显不行，，其它目前还可以,Ejd,VPAD0101E002,待机或使用时间短
201701ecm0005158,手机很好用，电池特别耐用,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005159,电池特别耐用，非常薄。。像素也特别高。。,Ejd,VPAD0101E001,待机或使用时间长
201701ecm0005160,是正品，电池挺耐用，黑色个人喜欢，送的东西少点，物流快。,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005161,电池挺耐用的 不是一般的快 好 非常清晰 音质清晰 太好了，超赞 还送了好多的礼品，礼品都是非常不错的。,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005162,电池挺耐用的，用了几天才评价，很好用！,Ejd,VPAD0101E001,待机或使用时间长
201701ecm0005163,是正品，电池挺耐用的。各方面都挺好。,Ejd,VPAD0101E001,待机或使用时间长
201701ecm0005164,电池挺耐用的，虽然是送朋友的，但是朋友反应是充电快，电力持久，第一次买oppo手机，真的很不错 拍照效果也很好，很清晰，还有很多拍照功能，满足少女们的拍照需求 音质也很好，听歌什么的效果很不错 信号接收也挺好的，用了新手机，感觉比旧手机出现没信号的几率少了很多，因为学校宿舍经常信号不好 操作也很方便，功能设计的很人性化 这里尤其要感谢一下（首佳誉数码专营店：豌小豆 ）这位客服，咨询回复速度很快，也很专业，根本不用我等，给人很亲切的感觉，第一次因为一位客服而喜欢上一家店。还要感谢店家，送了我好多赠品登山包VR手表充电宝,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005165,电池挺耐用的，用了几天了暂时没有出现卡顿的问题喔，拍照蛮清晰的。卖家服务态度挺好的，还送了赠品呢。 送的登山包质量不错。,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005166,还行，电池挺长时间，希望不要用一段时间，电池不隔用了，总得来说挺好的,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005167,物流很快，手机很好用，电池续航很不错，闪充也很给力,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005168,非常好 电池续航能力爆炸,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005169,电池续航能力不错，这种大屏手机，装了差不多20个APP，微信和QQ全天挂着，纯看小说不看视频和玩游戏的话，充一次电可以用三天时间，非常不错 拍照效果很清晰，现在都喜欢自拍，前置摄像头像素高，自拍完全美美哒。 运行速度快，操作流畅，指纹解锁很灵敏，内存足够，用得非常顺手。 充电速度很快，续航能力又好，听朋友的推荐购买的，确实满意。 当天拍下，隔天就收到了，顺丰包邮的，确实速度快。客服态度也很好，有问必答，满意,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005170,用了几天才来评价的 电池续航能力很强 玩游戏很流畅 颜色很正 值得一买 好评 快递小哥也很负责帮忙当场验货的 ,Esuning_hw,VPAD0101E001,待机或使用时间长
201701ecm0005171,手机挺好的，电池续航能力强，像素很好，性价比赞赞?！！！,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005172,超级好用！电池续航能力强大！用俩天没问题！手感很好！用了好几代苹果！以前用过oppo！所以再次信任oppo！,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005173,手机不错，电池也行。相素特别好，值得入手。新年送给老婆的礼物。祝店家2017年生意兴隆，更上一层楼。,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005174,是正品，手感很好，电池也很给力，一直喜欢oppo的手机，五星好评,Etianmao_hw,VPAD0452E001,手感/握感好
201701ecm0005175,拍照效果很好，速度很快，电池也很耐用,Ejd,VPAD0082E002,拍照效果好
201701ecm0005176,手机不错，电池也很耐用。非常满意,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005177,速度快 电池也很耐用 不错挺满意的,Ejd,VPAD0001E001,性能整体感受好
201701ecm0005178,手机好用拍照很清晰，电池也很耐用，支持国产，京东服务值得信赖，正品没有问题！！！物流真的超级快，以后买手机家电还是上京东呀！,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005179,用起来很好，充电很快，电池也很耐用，送了不少东西,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005180,用了几天。感觉挺好的。电池也很耐用。自营的不知道为什么就是快递有点慢。没能按时送达,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005181,手机很好，功能很强大，电池也很耐用拍摄也很清楚。,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005182,手机不错，反应也很快，电池也赖用！不错！！,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005183,很好用，很喜欢，充电很快，电池也耐用,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005184,用着还行吧，反应也挺快，电池也耐用,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005185,充电很快，电池也耐用，不得不提指纹解锁的速度很快，挺好,Ejd,VPAD0165E001,充电快
201701ecm0005186,很好用，电池也耐用，速度也很快！,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005187,电池也耐用，喜欢,Ejd,VPAD0101E001,待机或使用时间长
201701ecm0005188,手机是正品，反应快，电池也耐用，总的来说值得勾买。,Ejd,VPAD0001E001,性能整体感受好
201701ecm0005189,给媳妇买的用着还可以，充电快，电池也能玩住两天充一次电。像素也挺高，还自带美颜相机媳妇超喜欢！物流太给力了京东值得信赖！一百个大赞！,Ejd,VPAD0165E001,充电快
201701ecm0005190,手机不错啊！电池也挺耐用的，充电比一般手机快多了,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005191,电池用的太快了，收到是开机的,Ejd,VPAD0101E002,待机或使用时间短
201701ecm0005192,手机不错，电很耐用，充电也非常快，满意,Ejd,VPAD0101E001,待机或使用时间长
201701ecm0005194,很漂亮的电话,Etianmao_hw,VPAD0459E001,外观好看
201701ecm0005195,总体来说这款电话非常不错。比苹果的好上很多，而且是那个12期免息，而且商家还给了很多赠品。他精致的外观非常漂亮。支持国货666.没毛病！,Etaobao_hw,VPAD0275E001,喜爱/好用
201701ecm0005196,电话非常漂亮，不错的选择。,Ejd,VPAD0459E001,外观好看
201701ecm0005197,电话非常好，支持国产，差了是正品开机速度也很快，功能就不用说了，满分好评,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005198,电话确实不错，充电快，电池特别尽用，而切手感特别好，好喜欢。我特意用了一段时间才来评价的，确实非常好，以后告别苹果了,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005199,电话用了一段时间，各项性能都表现的很好，确实充电很快！,Ejd,VPAD0165E001,充电快
201701ecm0005200,电话还不错，还是满意得,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005201,电话很好用，京东快递就是给力，次日到达,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005202,电话很漂亮使用效果很好！任性付已经买第2个了！就是任性付的额度少了点，只能用花呗在***上又买了一个，一样的价格一样的分期但没东西送！但没办法！,Esuning_hw,VPAD0459E001,外观好看
201701ecm0005203,非常棒的电话，充电快。喜欢,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005204,用了几天才来评价的 电话很好用 手感不错 像素特别好比苹果的好,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005205,给女儿买的电话，颜色，手感都超级好，质量更是没话说，女儿特别喜欢，京东购物，值得信赖！,Ejd,VPAD0452E001,手感/握感好
201701ecm0005206,电话很不错，很喜欢，颜色也漂亮，赠品也送很多。快递也超级快。,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005207,电话很漂亮也很好用！物流很快！满意！赠品也都很好！,Ejd,VPAD0459E001,外观好看
201701ecm0005208,电话是正品，用了很长时间，很好。,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005209,电话很不错，用着非常的舒服，是正品,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005210,电话非常好，用着很方便，网速非常快，分辨率很好，照相很漂亮呦。,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005211,电话收到了 真的超级喜欢 屏幕够大 很薄 两天充一次电 而且充电也很快 指纹解锁也很快 同事看了也都好喜欢 新年红 颜色真的很正 一定会红红火火的 屏幕贴了蓝光膜,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005212,电话不错，用着也很好用,Esuning_hw,VPAD0275E001,喜爱/好用
201701ecm0005213,电话不错很快 做工也不错,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005215,电话待机时间很好，反应速度快，样子很漂亮,Ejd,VPAD0101E001,待机或使用时间长
201701ecm0005216,电话到了。赠品很多。很满意。下次需要还继续你家购买,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005219,第一次用国产电话感觉很好一些硬件可能比不上苹果但对这个价格很值了性价比很高的一款手机充电速度很快系统也很好以后会一直支持国产的东西还会在京东购买加油,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005220,电话好质量 被砸了还完好无损 物流很快,Etianmao_hw,VPAD0284E001,质量好
201701ecm0005221,很满意，电话没的说，物流很快。,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005222,电话是不错，但是我要的赠品不是我填的啊。我要的是蓝牙音响和收拾包包，结果给我来个大背包和个vr我也是醉了，难道让我看毛片好看点吗？,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005223,电话帅气，颜色等了好久喜欢,Ejd,VPAD0459E001,外观好看
201701ecm0005226,这款电话用地真心不错，各个方面都很好，物流也很给力，,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005227,电话用了！挺好的！一直用oppo感觉拍照很好看！以后还会关注oppo手机！赠品如果给充电宝就好了网页开了很多一点都不卡！,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005228,电话用着非常好，运行速度快。外观设计好看,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005229,非常满意，很好看电可以用一天,Ejd,VPAD0459E001,外观好看
201701ecm0005230,很喜欢电力很足，玩一天都不用充电,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005231,电量很不错！玩游戏看电影都能用很久 自带的音乐软件有调试音质的工具，非常不错 拍照非常清晰，基本上有3-5M，一张照片 充电5分钟，通话2小时，原来是真的，真的充电很快！ 信号和WIFI都是很好的 之前一直在用苹果，没想到R9S的系统也还是很不错的，自己买了钢化膜贴上，黑色很酷的，高大上哦，外观及功能都让人喜欢,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005232,电量 真的可以 蛮耐用的,Ejd,VPAD0101E001,待机或使用时间长
201701ecm0005234,用了几天，电量不是很耗，但是流量跑的有点儿快，不知道是不是设置的问题。整体来说还是很不错的,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005235,电量不用愁一直玩可以玩一整天，之前一直用荣耀，女朋友喜欢，手机的确不错可惜只是中配麒麟625平常用用也还可以，但是指示灯一直不亮不知道怎哦回事,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005236,电量充足，很抗用！,Ejd,VPAD0101E001,待机或使用时间长
201701ecm0005237,宝贝不错很好用，电量非常够用，打打电话可以用两天吧，可以用两年就好，很好很好很好。拍照也不错。总体来说可以的。,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005238,电量非常经用，用了半个月没有卡顿现象，大爱,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005239,手机很不错，第二次购买啦，电量非常耐用，好评。,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005240,电量够用，但是有卡顿，指纹解锁好用。,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005241,电量够用 手感不错，用断时间再来评价，各方面都可以,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005242,手机很好用，电量很耐用,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005243,电量很耐用,Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005244,拍照很清晰，电量很耐用非常喜欢（中关村在线安卓客户端）优点：oppor9pius，真心不错，手感特别好，看电视玩游戏一点都不卡，拍的照片特别清楚，这也是像素高的功劳呀，而且拍照的一些功能都非常实用，摄像头成像速度快，照片画质棒，自拍还不错，美颜功能很好用。系统运行速度超级快，6gb的运存很不错，上网一点都不卡，存储内存也是非常大的，还支持扩展这个是非常不错的，电量比较大，用两天没问题，重要的是充电速度快呀！...缺点：缺点音质不如之前用的vivoxplay3s，不过也是非常不错的了。...总结：整体是非常得我心，拍照清晰电池耐用，国产手机做得很好了，支持国产。...,Ezol,VPAD0079E002,拍照清晰
201701ecm0005246,挺好用的，电量绝对不是问题啊，终于不用天天充电宝了,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005247,电量耐用！,Ejd,VPAD0101E001,待机或使用时间长
201701ecm0005248,"电量使用还算持久,开视频也费不了多少电. 音质不错,非常清晰,耳机口设计在下方有些不太适应. 拍照超乎想象,前摄像头特别清晰 黑色的挺好看的,挺大气,配一个黑色全膜非常完美 充电速度前百分之五十挺快的,后面速度一般. 过年不打烊非常好,顺丰物流发的是隔日,速度快,让我在年前拿到了手机.",Etianmao_hw,VPAD0101E001,待机或使用时间长
201701ecm0005249,非常好的手机 物流非常快 运行很快 电量也够用 充电也飞一样 拍照也没得说 客服态度非常好 耐心 用了一周来评价有点晚了 正品 非常好用,Etianmao_hw,VPAD0284E001,质量好
201701ecm0005250,电量用的快,Ejd,VPAD0101E002,待机或使用时间短
201701ecm0005251,电量在耐用点就好了,Egome,VPAD0101E002,待机或使用时间短
201701ecm0005253,手机非常不错，电能用1-2天，音质非常好。拍照很好，送了很多东西哦,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005256,第一次在网上买电子产品，手机性能很好，指纹解锁快，玩游戏不卡顺畅，比苹果机好用多，朋友买肾七老卡死，,Etianmao_hw,VPAD0001E001,性能整体感受好
201701ecm0005258,第一次在网上买电子产品，用了一天感觉还不错,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005274,店家服务态度很好，在店里抽奖抽了个内存卡回来时候忘记带了，最后联系客服又给补发了一个，手机原装正品很漂亮很喜欢！给个好评！,Ejd,VPAD0459E001,外观好看
201701ecm0005276,店家非常好，照相好清晰，但是送的东西没有送。,Etianmao_hw,VPAD0079E002,拍照清晰
201701ecm0005282,店家服务还行，手机拍照也不错，声音也还好，比较大声，音质也可以，外观看起来也蛮好，手机拿在手上感觉不错轻薄，指纹解锁也很灵敏，一触立刻解开，密码解锁也行，运行也挺快，触摸也很灵敏，滑动很顺畅没有卡顿，就是按键不能按，店家没有说，触摸没得音的，只有震动，也算是一个满意购机吧。,Etianmao_hw,VPAD0082E002,拍照效果好
201701ecm0005288,店家服务信誉好！正品行货。质量可靠！十分好用！照相效果好！一次满意的网购，全5分好评！,Etianmao_hw,VPAD0284E001,质量好
201701ecm0005300,手机不错，店家客服不错，但，，，，顺丰物流是个渣！ 现在的顺丰不是以前的顺丰，它的快递业务分两块:快递和慢递，快递基本和以前一样，绝大部分地方两天到，但慢递比所有物流都慢，别人一般三天，它四天。本人以后拒绝购物卖家发顺丰！,Etaobao_hw,VPAD0275E001,喜爱/好用
201701ecm0005306,手机收到了，是正品，未拆封的。店家送的礼品还真的不错的。用了两天才来评价的，手机运行速度很快，内存也大，这回下载图片和文件有足够的储存空间了。,Etianmao_hw,VPAD0001E001,性能整体感受好
201701ecm0005314,东西不错！挺满意！店家态度也好！之用了几天才来评价！电板还是挺耐用的！给店家支持！！?????,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005326,店主超好，我咨询的时候都已经十二点了。还又问必答。机器验过是正品。好多小礼品。比较划算。相机颜色也很好。,Etianmao_hw,VPAD0755E001,性价比高
201701ecm0005334,吊 我一直以为和差评的一样有问题 收到后别提多激动了 ，拆包裹时手机壳很密封，一看就是一手货，打开看让我爱不释手啊，用了一天一切都很好 唯独这屏不好贴钢化膜单这些我不在意的 这次购物太好了，一直信赖京东自营，物流快的无法解释第二天就到！好棒好评！,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005335,盯上这款手机很久了，直到前几天才有时间来下单。收到手机迫不及待的打开使用了，操作很流畅，拍照很清晰，音乐播放音质不错。指纹解锁方便快捷，充电也很快，就是感觉待机的时候电量流失有点快。下了几个软件，目前为止还不会卡。手机轻薄，屏幕大小都很满意！新年到了，红红火火的外观超级喜欢！客服也很耐心，大半夜的还叫我怎么操作，这个必须好评。,Etianmao_hw,VPAD0001E001,性能整体感受好
201701ecm0005341,手机很漂亮，订后第二天就收到了，专门用过来评价的，电超级耐用，正常的打电话，发微信，玩游戏（不是一直玩），看新闻，逛淘宝，反正一直在用，快两天了电量还有53%,Etianmao_hw,VPAD0459E001,外观好看
201701ecm0005342,手机挺好的，定的比较晚，本来以为7天左右能发货，结果三天就发了。手机颜色好看，包装精美，运行速度畅快，总体感觉还不错，预售送的音箱和自拍杆都挺好的,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005345,用着不错，定位也是拍照手机，清晰！好评,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005364,东西刚收到，快递还是挺好的。宝贝到手很轻，刚用反应挺快的，像素也非常棒，充电还没试，应该也很快,Etianmao_hw,VPAD0452E001,手感/握感好
201701ecm0005368,东西真的不错，，，本来想的年前到不了，，没想到这么快，，,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005391,东西棒棒的，老婆手机电总不够用，特地买的闪充，她很高兴。全五分,Etianmao_hw,VPAD0101E002,待机或使用时间短
201701ecm0005393,东西刚到，感觉不错，拿来放新手机卡正好。赠品也挺喜欢的，就是等我下单后才改成6选2，想要臂包跑步装手机?,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005394,东西非常好，拍照特别清晰，系统很流畅，外观很美！,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005397,嗯，东西啦！确实还挺不错，挺漂亮的，我加了个老婆大人比较喜欢嗯，像素啦！真的还不错哦，不这个东西还家人说有点贵了，150么么额么啦！啊！啊！啊！啊！应该弄得现在说那个打不退款的话还说屏幕反应有点不灵了，不知道是怎么回。,Etianmao_hw,VPAD0459E001,外观好看
201701ecm0005408,东西非常好 完好无损 很上手 大气上档次阿 支持京东自营店 照片就没有了,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005415,东西还行，颜值不错，不过有些软件会有一些卡顿，有些则没有，拍照方面没有太大亮点，音质凑合。,Etianmao_hw,VPAD0459E001,外观好看
201701ecm0005422,东西非常不错，用起来非常流畅，比移动的专门定制机要好的多，自己使用起来得心应手，非常感谢。拍照也非常完美,Esuning_hw,VPAD0275E001,喜爱/好用
201701ecm0005425,东西非常好，尤其是拍照，简直就是女人的神器,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005433,东西很漂亮，老婆非常喜欢。这是我第五个网够手机了，这次最满意。,Ejd,VPAD0459E001,外观好看
201701ecm0005435,东西还可以，指纹解锁很快，拍照也挺好,Etianmao_hw,VPAD0459E001,外观好看
201701ecm0005439,东西不知道是不是正品，看着挺好！机器打开上面就有微信和qq！送的东西还算行！不过跟老家卖手机的比，送的就有点寒碜了！先说手机，拿着手感好，黑色的也漂亮！没有惊艳！感觉一般，尤其宣传的拍照功能，没有感觉！最气人的是自营店做活动送彩票代金券！你大爷的 居然是假的，到彩票店扫码扫不出来！之前花三百买了个电饭煲还能兑换！这个快三千了，弄张假的！,Ejd,VPAD0452E001,手感/握感好
201701ecm0005465,物流太慢 东西还好 像素不错,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005468,东西还是不错，开机内存 还有 接近5G，电池也耐用,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005469,东西还是一样的好 用了半天的感受 特别是解锁比上一代快了很多，把以前手机的资料数据全部倒在新机子上了，所有的运行流畅。赞 但是我觉得快递没有以前快了！,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005489,非常不错，东西很全，充电有点慢,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005522,东西三天就到了，手机是正品，照相杠杠滴，赠品多，质量好，电池太好用了，支持国货，太棒了!,Etianmao_hw,VPAD0082E002,拍照效果好
201701ecm0005532,东西是不错就是物流真的慢死了,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005533,东西是好，就是物流没想象的快。,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005539,东西收到，不到一天京东快递送货。很满意的服务！一直信赖京东，手机是第二次购买！R9+R9S 手机不错就是感觉小贵毕竟请的都是明星代言。所以购买了！,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005540,东西收到看着不错。不知道效果怎么样。待追评。附上图片可以看看。能帮助待买的人参考,Esuning_hw,VPAD0459E001,外观好看
201701ecm0005542,东西收到，很好看很精致，电池也挺耐用的。后面用几天在追加评论,Ejd,VPAD0459E001,外观好看
201701ecm0005543,东西收到啦！东西收到啦！嗯到的时候包装完好，是正品，目前用着也没什么问题。像素高。充电快,Etianmao_hw,VPAD0088E002,摄像头像素高
201701ecm0005544,东西收到很满意，而且快递师傅也很给力，我电话停机了，又给我重新送过来的。,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005548,物流给力，东西收到是正品。手机手感不错，外观很漂亮，手机速度很快，拍照效果杠杠的，充电速度非常快，还送了不少礼品，客服也很好，总之是一次非常满意的购物！,Etaobao_hw,VPAD0452E001,手感/握感好
201701ecm0005557,东西收到以后马上查看，发现与图片描述一致，超级喜欢，卖家发货速度很快，，服务也很到位，给老板点个赞，下次还会来购买.........,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005572,东西挺快的，不错，就是没有标准卡，还用不成，,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005573,东西我已经收到了，还是比较满意的首先红色新年款很好，比较骚很骚嗯，很喜欢，另外也送了收纳包也不错，还有一个音响还有个自拍竿，质量也不错，嗯，最高兴的是他把我膜贴好了，这样的话我就不用纠结贴什么膜了，还送了一个透明的手机壳嗯，手机壳也不知道自己能用多久，反正肯定以后会换的嘛，唯一感到缺憾的就是原本打算分期付款的，但是由于自己的京东白条额度不足，手机的价格大于白条，导致不能分期付款，所以后面的尾款我就直接付了全款，这一点还是有点不太满意的，快递小哥很给力，满分,Ejd,VPAD0738E001,颜色好
201701ecm0005577,发货很快第二天就收到了东西也到齐了就是我手机卡不配跑了半天才把卡搞好手机玩的感觉挺好的不知道电池耐用不,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005586,东西一天多就到了！很好用感谢,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005602,东西已收到 非常完美 像素非常棒 外表也很精致 总之非常满意的一次购物 支持京东,Ejd,VPAD0459E001,外观好看
201701ecm0005606,东西邮的特别快，电话特别漂亮。,Ejd,VPAD0459E001,外观好看
201701ecm0005610,东西早收到，用了几天来评价，还行没问题，等用短时间再来追平吧！手机照相挺清晰的，值得购买～,Etianmao_hw,VPAD0079E002,拍照清晰
201701ecm0005613,非常好，值得购买，东西真的好，手机很好用，我非常的喜欢，网速特别快。下次还来本店购买，真的非常非常非常的好用。,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005638,都不错，唯一差一点的就是用电有点儿快。,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005662,都说OPPO音质很好 果然没让我失望 电池很给力啊 开游戏半个小时才去了1%的电量 充电5分钟通话2小时，听起来很夸张但是1个多小时还是可以的 信号可以但是在电梯或者地下室里暂时还没试过 摄像头很清晰，照片效果不错 快递很满意，就是客服能回话更快点就好了,Etianmao_hw,VPAD0385E001,外放音质好
201701ecm0005669,都说现在每个人都买得起充电5分钟的手机，可是再也找不到那个通话两小时的人了……已经是第二个手机了，相当好用，值得推荐,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005672,总体来说，都挺好，赠品质量很好，上网流畅。打游戏都不带卡得,Etianmao_hw,VPAD0275E001,喜爱/好用
201701ecm0005675,都挺好的，只有连接Wi-Fi信号不是很好,Etaobao_hw,VPAD0275E001,喜爱/好用
201701ecm0005680,独特的红色机身，手感非常好！充电确实很快，不过用电好像有点猛！,Ejd,VPAD0452E001,手感/握感好
201701ecm0005681,系统流畅度好，玩王者荣耀也不卡，拍照清晰，日常绝对够用了，送的礼品多。,Etianmao_hw,VPAD0001E001,性能整体感受好
201701ecm0005685,对手机很满意，但就是对物流太失望了，早上八点到的一直不派送，下午物流信息显示货物多，配送延时，但同一天早上下的另一个订单，下午就送到了，唯一就是地址不同，两个地址相差两公里，催单无效，客服投诉无效，直到第二天还是不配送，没法下午五点自己去站点取，却看到的是四五个人坐那里聊天，而东西就在面上放着，这就是货物多，配送延时，让我耐心等待，真的是无语失望，京东快递啊投诉无门啊！,Ejd,VPAD0275E001,喜爱/好用
201701ecm0005686,总的来说对这款手机无可挑剔。店家送的礼物超多的，手表让我家宝贝儿要走了??拍了几张照片共大家欣赏，手机套也是在网上订的，和手机一起到的，所以就一起传美图了?,Etaobao_hw,VPAD0275E001,喜爱/好用
201701ecm0005688,对安卓手机比较满意的，有快充，有美颜，有不卡的系统，人性化的字体，铃声，主题什么的。客服态度特别好，买手机送了很多东西，虽然实用的东西并不多，不管怎么说这次购物还是比较舒心的。,Etaobao_hw,VPAD0275E001,喜爱/好用
201701ecm0005695,好喜欢，对不玩游戏，只看电视，购物，打电话的话超适合的,Etaobao_hw,VPAD0275E001,喜爱/好用
